# OLD_NAME, NEW_NAME
Steven David Pretwich,Steven David Prestwich
M. Hancock-Beaulieu,Micheline Hancock-Beaulieu
M. Gatford,Mike Gatford
Alfredo DeSantis,Alfredo De Santis
Weiping Shio,Weiping Shi
Timothy Chou,Timothy C. K. Chou
Frank Cappello,Franck Cappello
A. Frommer,Andreas Frommer
S. Rielau,Serge Rielau
J. M. Couvreur,Jean-Michel Couvreur
Jø Lind-Nielsen,Jørn Lind-Nielsen
G. Spezzano,Giandomenico Spezzano
Jørgen Fischer-Nilsson,Jørgen Fischer Nilsson
G. Lonsdale,Guy Lonsdale
Emilo Luque,Emilio Luque
D. H. Kieronska,Dorota H. Kieronska
Mary A. Keeler,Mary Keeler
Rüdiger,Rüdiger Reischuk
W. K. Sung,Wing-Kin Sung
G. Deconinck,Geert Deconinck
V. De Florio,Vincenzo De Florio
M. C. Heydemann,Marie-Claude Heydemann
Ramï¿½n Beivide,Ramón Beivide
Günter Pickert. A Life's Work in Geometry,Günter Pickert
Ondrej Sykora,Ondrej Sýkora
m. Ian Leslie,Ian M. Leslie
Debora K. Weisser,Deborah K. Weisser
D. K. Weisser,Deborah K. Weisser
Micheal Hewett,Michael Hewett
Ana Pauls Afonso,Ana Paula Afonso
P. Chow,Paul Chow
E. Tien,Eileen Tien Lin
W. G. Chambers,William G. Chambers
Hideaki Kamatsu,Hideaki Komatsu
Andreäs Benczur,András A. Benczúr
F. W. Burton,F. Warren Burton
F. Alizadeh,Farid Alizadeh
Kevin B. Long,Kevin Brook Long
Naphtali Riche,Naphtali Rishe
Høakan Mitts,Håkan Mitts
Stéephane Demphlous,Stéphane Demphlous
L. Duchien,Laurence Duchien
Guiseppe Lancia,Giuseppe Lancia
Jun-Ichi Tsujii,Jun-ichi Tsujii
Tetsuo Sakaguchi Koichi Tabata,Tetsuo Sakaguchi
G. E. Herman,Gary E. Herman
Msaki Nakamura,Masaki Nakamura
Lsori. A. Clarke,Lori A. Clarke
Rpnald D. Williams,Ronald D. Williams
Vhris Greenhalgh,Chris Greenhalgh
E. Odijk,Eddy Odijk
S. Goto,Susumu Goto
C. Zhao,Cuie Zhao
K. Friedl,Katalin Friedl
Marl Sherman,Mark Sherman
A. Yu Zharkov,A. Yu. Zharkov
Allen van Gelder,Allen Van Gelder
D. Suggs,Darrell Suggs
N. Sakamoto,Norihiro Sakamoto
N. M. van Dijk,Nico M. van Dijk
Eugene Luks,Eugene M. Luks
J. Refael Sendra,J. Rafael Sendra
Frank Palermo,Frank P. Palermo
F. P. Palermo,Frank P. Palermo
Jürgen Bang-Jensen,Jørgen Bang-Jensen
Henry Prade,Henri Prade
Dimitri Papadias,Dimitris Papadias
Hector Munoz-Avila,Hector Muñoz-Avila
Eduardo B. Fernandez,Eduardo B. Fernández
A. Paz,Azaria Paz
D. F. Shanno,David F. Shanno
Steven J. Mellor,Stephen J. Mellor
Randal V. Zoller,Randal V. Zoeller
Robert C. Golgstein,Robert C. Goldstein
Ashok Savasere,Ashoka Savasere
D. E. Boekee,Dick E. Boekee
Rehaneh Safavi-Naini,Reihaneh Safavi-Naini
Thomas A. Mueck,Thomas A. Mück
V. Varadharajan,Vijay Varadharajan
Emin Gür Sirer,Emin Gün Sirer
J. von Wright,Joakim von Wright
P. Cavalloro,Patrizia Cavalloro
Jukko Hekanaho,Jukka Hekanaho
Annie Kunzmann-Combelles,Annie Kuntzmann-Combelles
Rubén Prieto-Díaz,Rubén Prieto Díaz
Stephen J. P. Todd,Stephen Todd
H. Heller,Hans Heller
Bernhard Berthomieu,Bernard Berthomieu
Alan Baratz,Alan E. Baratz
L. Thorne McCarthy,L. Thorne McCarty
Peter Pin-Shan Chen,Peter P. Chen
Peter P.-S. Chen,Peter P. Chen
Peter Chen,Peter P. Chen
David Tennenhouse,David L. Tennenhouse
Hwang Zhiyi,Zhiyi Hwang
M. Billinghurst,Mark Billinghurst
Hu Shouren,Shouren Hu
Jesás M. González-Barahona,Jesús M. González-Barahona
F. Maraninchi,Florence Maraninchi
Rutger Hofman,Rutger F. H. Hofman
Ranga Ramanujan,Ranga S. Ramanujan
Seraffin Moral,Serafin Moral
I. Ripoll,Ismael Ripoll
S. A. Schuster,Stewart A. Schuster
T. Schuster,Stewart A. Schuster
Béatrice Berard,Béatrice Bérard
Wojtek Kozacynski,Wojtek Kozaczynski
M. von der Beeck,Michael von der Beeck
M. Minea,Marius Minea
R. Morin,Rémi Morin
Steven W. Miller,Stephen W. Miller
Gregor Engel,Gregor Engels
Jüregn Freitag,Jürgen Freitag
Roldolf Kruse,Rudolf Kruse
P. Levi,Paul Levi
T. Wilmes,Thomas Wilmes
Achour Mostefaoui,Achour Mostéfaoui
W. Wobcke,Wayne Wobcke
Peter Struß,Peter Struss
P. Struß,Peter Struss
J. W. Roach,John W. Roach
John Roach,John W. Roach
Ronald P. Loui,Ronald Prescott Loui
Micheal A. Cusumano,Michael A. Cusumano
Ramanthan V. Guha,Ramanathan V. Guha
M. Temperini,Marco Temperini
Y. H. Kim,Yang Hee Kim
