# OLD_NAME, NEW_NAME
A. C. Sanderson,Arthur C. Sanderson
H. Jàppinen,H. Jäppinen
D. Suthers,Daniel D. Suthers
Stephen F.Smith,Stephen F. Smith
A. Nico Haberman,A. Nico Habermann
P. T. Cox,Philip T. Cox
R. Rankin,Richard Rankin
Pedro Szekely,Pedro A. Szekely
David Steier,David M. Steier
H. Shin,Heonshik Shin
L. M. G. Feijs,Loe M. G. Feijs
Loe Feijs,Loe M. G. Feijs
Andrew S.Grimshaw,Andrew S. Grimshaw
Patricia Hill,Patricia M. Hill
Yoon Joon Lee,Yoon-Joon Lee
Peter Frtzson,Peter Fritzson
Simin Nadjm-Therani,Simin Nadjm-Tehrani
E. Kapetanios,Epaminondas Kapetanios
Julia Galliers,Julia Rose Galliers
V. Cutello,Vincenzo Cutello
Axel Quilici,Alex Quilici
Joost Verhofstadt,Joost Verhofstad
Christina Ribeiro,Cristina Ribeiro
Richard Muntz,Richard R. Muntz
Renator de Mori,Renato de Mori
Nikil R. Pal,Nikhil R. Pal
Angel P. del Pobil,Angel P. Del Pobil
Israel Ben Shaul,Israel Ben-Shaul
MMaria Francesca Costabile,Maria Francesca Costabile
Nahid,Nahid Shahmehri
H. M. Williams,M. Howard Williams
R. Carapuça,Rogério Carapuça
Paul Lindgren,Paul Lindgreen
K. Sadakane,Kunihiko Sadakane
Eric Postma,Eric O. Postma
D. Doole,Doug Doole
W. Chen,Weidong Chen
Y.-C. Fuh,You-Chin Fuh
S. H. Whitesides,Sue Whitesides
Johnathan Richard Shewchuk,Jonathan Richard Shewchuk
K. Wang,Ke Wang
J. Mehl,James W. Mehl
T.-T. Dang-Ngoc,Tuyet-Tram Dang-Ngoc
J. P. Sansonnett,J.-P. Sansonnet
R. Swagerman,Richard Swagerman
A. D. Falkoff,Adin D. Falkoff
Rogério De Lemos,Rogério de Lemos
Mohamed Ouksel,Aris M. Ouksel
M. Aris Ouksel,Aris M. Ouksel
Athanassios K. Tsakalidis,Athanasios K. Tsakalidis
A. Tsakalidis,Athanasios K. Tsakalidis
Víictor Dalmau,Víctor Dalmau
Maria García de la Banda,Maria J. García de la Banda
Agigdor Gal,Avigdor Gal
Marcus Bjareland,Marcus Bjäreland
P. Kappos,Panagiotis Kappos
Jean Veronis,Jean Véronis
Jean-Charles Regin,Jean-Charles Régin
L. I. Brady,Lynette I. Brady
Jørgen Fisher Nilsson,Jørgen Fischer Nilsson
C. Mitchell,Chris J. Mitchell
F. De Rosis,Fiorella de Rosis
F. de Rosis,Fiorella de Rosis
Franceso Ricci,Francesco Ricci
Lilian Ardissono,Liliana Ardissono
G.A. Kohring,G. A. Kohring
B. Heyd,Barbara Heyd
R. Haenni,Rolf Haenni
Dimitris M. Thilikos,Dimitrios M. Thilikos
David O'Hallaron,David R. O'Hallaron
Sanjai Ranka,Sanjay Ranka
J. A. Gregorio,José A. Gregorio
Sherri Shulman,Sheryl Shulman
L. F. M. de Moraes,Luís F. M. de Moraes
Luís F. de Moraes,Luís F. M. de Moraes
Véronique Bryere,Véronique Bruyère
Véronique Bruyere,Véronique Bruyère
G. Görz,Günther Görz
A. H. M ter Hofstede,A. H. M. ter Hofstede
Jean-François Pique,Jean François Pique
Ronald P.  Preston,Ronald P. Preston
R. K. Iyer,Ravishankar K. Iyer
Manual Abellanas,Manuel Abellanas
Cita R. Das,Chita R. Das
E. Okamoto,Eiji Okamoto
C. Robach,Chantal Robach
P.-J. Chuang,Po-Jen Chuang
J. Shambhu Upadhyaya,Shambhu J. Upadhyaya
X. Yi,Xun Yi
J. Darlington,John Darlington
Peter Øhstrøm,Peter Øhrstrøm
Paolo A. S. Veloso,Paulo A. S. Veloso
Nicoló Cesa-Bianchi,Nicolò Cesa-Bianchi
Yvon Jegou,Yvon Jégou
Jeffrey J. Jackson,Jeffrey C. Jackson
Torben Bräner,Torben Braüner
D. C. Bossen,Douglas C. Bossen
C. A. Scalzi,Casper A. Scalzi
E. B. Eichelberger,Edward B. Eichelberger
A. J. Westlake,Andrew Westlake
H. Fleisher,Harold Fleisher
M. Azmoodeh,Manoochehr Azmoodeh
In-Cheolo Park,In-Cheol Park
Marcos Veloso-Peixoto,Marcos Veloso Peixoto
Seppo Sippi,Seppo Sippu
Ki-Journe Li,Ki-Joune Li
Jacob Abraham,Jacob A. Abraham
Alfredo Goni Sarriguren,Alfredo Goñi
A. Goñi,Alfredo Goñi
Anthony Galton,Antony Galton
Baron C. Housel,Barron C. Housel
Vance Waddle,Vance E. Waddle
M. Y.(Ben) Hsiao,M. Y. (Ben) Hsiao
A. Hevner,Alan R. Hevner
José Luis Fiadeiro,José Luiz Fiadeiro
Patrick H. Hayes,Patrick J. Hayes
J. C. Bicarregui,Juan Bicarregui
J. Jerrold Kaplan,S. Jerrold Kaplan
M. A. Steel,Michael Anthony Steel
Marie Pierre Beal,Marie-Pierre Béal
Antonis Symvonis,Antonios Symvonis
Anke Rieger,Anke D. Rieger
Emr El Abbadi,Amr El Abbadi
Amr El-Abbadi,Amr El Abbadi
Gerald Salton,Gerard Salton
Mario Benevides,Mario R. F. Benevides
K. Lampaert,Koen Lampaert
Randy E. Bryant,Randal E. Bryant
Raymoond F. Boyce,Raymond F. Boyce
M. I. Schor,Marshall I. Schor
D. A. Klein,David A. Klein
Fred. G. Gustavson,Fred G. Gustavson
Finn V. Jensen,Finn Verner Jensen
Pat Hayes,Patrick J. Hayes
P. J. Hayes,Patrick J. Hayes
Martin Demaine,Martin L. Demaine
David McNally,David J. McNally
H. Zuse,Horst Zuse
Sharad C. Seht,Sharad C. Seth
Huko Fuks,Hugo Fuks
B. Silverman,Barry G. Silverman
B. Trousse,Brigitte Trousse
Michael X. Goemans,Michel X. Goemans
Pankaj K. Agrawal,Pankaj K. Agarwal
D. Sotteau,Dominique Sotteau
P. Bessiere,Pierre Bessière
Pierre Bessiere,Pierre Bessière
M. J. Irwin,Mary Jane Irwin
K. M. Just,Knut M. Just
Hillary J. Kahn,Hilary J. Kahn
R. M. Owens,Robert Michael Owens
W. L. Schiele,Werner L. Schiele
Simon Gay,Simon J. Gay
, Christoph Lingenfelder,Christoph Lingenfelder
Yury Matiyasevich,Yuri Matiyasevich
Paolo S. C. Alencar,Paulo S. C. Alencar
R. Quiniou,Rene Quiniou
J. P. Hubaux,Jean-Pierre Hubaux
Till Mossakoski,Till Mossakowski
C. Sengler,Claus Sengler
B. P. Serpette,Bernard P. Serpette
Bernard Serpette,Bernard P. Serpette
V. E.Wolfengagen,V. E. Wolfengagen
Kyogji Hirata,Kyoji Hirata
Emil E. Girczyc,Emil F. Girczyc
Cindy Chen,Cindy Xinmin Chen
R. Rajaraman,Rajmohan Rajaraman
Mourad Debabi,Mourad Debbabi
Ernst W. Mayr, Friedhelm Meyer auf der Heide,Ernst W. Mayr
Jeffery Cochran,Jeffery K. Cochran
J. K. Cochran,Jeffery K. Cochran
Karl Kempf,Karl G. Kempf
K. G. Kempf,Karl G. Kempf
Jaques Stern,Jacques Stern
Christoph Paar,Christof Paar
Alan B. Pritsker,A. Alan B. Pritsker
K. Farahmand,Kambiz Farahmand
Jeffery A. Joines,Jeffrey A. Joines
Foto Afrati,Foto N. Afrati
Russel Impagliazzo,Russell Impagliazzo
Abdré Stork,André Stork
Jonathan Demarrais,Jonathan DeMarrais
Johnathan DeMarrais,Jonathan DeMarrais
Peter Gács,Péter Gács
Anne v. D. L. Gardner,Anne v. d. L. Gardner
Tuoamas Sandholm,Tuomas Sandholm
Fumino Mizoguchi,Fumio Mizoguchi
A,A. J. van de Goor
P. Pogliano,Paolo Pogliano
Ramï¿½n Pino Pèrez,Ramón Pino Pérez
Alberto L. Sangiovanni-Vicentelli,Alberto L. Sangiovanni-Vincentelli
D. E. Walker,Donald E. Walker
J. L. Baer,Jean-Loup Baer
Enea Zffanella,Enea Zaffanella
A. Cichocki,Andrzej Cichocki
W. van der Aalst,W. M. P. van der Aalst
W. Maly,Wojciech Maly
J. Sklansky,Jack Sklansky
T. A. Nguyen,Tin A. Nguyen
P. Naggar,Paolo Naggar
Neil A. M. Maiden,Neil A. Maiden
Gerardine Desanctis,Gerardine DeSanctis
Ching-Farn E. Wu,Ching-Farn Eric Wu
Yacoub El-Ziq,Yacoub M. El-Ziq
D. A. Henderson Jr.,D. Austin Henderson Jr.
G. Estrin,Gerald Estrin
Héctor Muñoz-Avila,Hector Muñoz-Avila
William S. Swartout,William R. Swartout
Kava Eshghi,Kave Eshghi
Ch. v. Uthmann,Ch. von Uthmann
Elisabeth Andre,Elisabeth André
J. Pavlin,Jasmina Pavlin
M. Boman,Magnus Boman
Yasui Kanada,Yasusi Kanada
Michael Harrison,Michael D. Harrison
HongHai Shen,Honghai Shen
Michael Hurfin,Michel Hurfin
J. M. Champarnaud,Jean-Marc Champarnaud
Anna Bergeron,Anne Bergeron
Todd Hodes,Todd D. Hodes
U. Rembold,Ulrich Rembold
Kouji Iwanuma,Koji Iwanuma
Elsa Gunter,Elsa L. Gunter
Mohamed Ykhlef,Mourad Ykhlef
M. Grãna,M. Graña
Maria Grazia Scutella,Maria Grazia Scutellá
Micheal K. Reiter,Michael K. Reiter
Karsteen Weihe,Karsten Weihe
Simaan AbouRizk,Simaan M. AbouRizk
Filioppo Tangorra,Filippo Tangorra
Bian Knight,Brian Knight
B. Knight,Brian Knight
Eiichiiro Fujisaki,Eiichiro Fujisaki
Reibaneh Safavi-Naini,Reihaneh Safavi-Naini
R. Peter Pete Bonasso,R. Peter Bonasso
Adi Roséen,Adi Rosén
W. E. McCarthy,William E. McCarthy
W. W. Carthy,William E. McCarthy
Eugene Di Sciascio,Eugenio Di Sciascio
Catherine Duford,Catherine Dufourd
P. Puliti,Paolo Puliti
Alexander Voinov,Alexander V. Voinov
W. Whitt,Ward Whitt
Juhu Rousu,Juho Rousu
Paolo Baldran,Paolo Baldan
Steve Caughey,Steve J. Caughey
S. J. Caughey,Steve J. Caughey
D.-Z. Du,Ding-Zhu Du
K. J. Maly,Kurt J. Maly
H. Sakai,Hirotaka Sakai
Lothar Mackert,Lothar F. Mackert
Peter Kirstein,Peter T. Kirstein
David Ingham,David B. Ingham
Wladslaw M. Turski,Wladyslaw M. Turski
Géard Berry,Gérard Berry
H. Kondo,Hidefumi Kondo
Oscar Pastor López,Oscar Pastor
D. P. Heyman,Daniel P. Heyman
Jeffrey A. Hoffler,Jeffrey A. Hoffer
A. Horsch,Alexander Horsch
Yin Fu Huang,Yin-Fu Huang
Mark Dunlop,Mark D. Dunlop
Purabdar Bhaduri,Purandar Bhaduri
Petr Savicky,Petr Savický
Rebecca Passonneau,Rebecca J. Passonneau
Dawn Jutla,Dawn N. Jutla
R. Devillers,Raymond Devillers
P. G. Bertoli,Piergiorgio Bertoli
Ya I. Fet,Yakov I. Fet
Ya. I. Fet,Yakov I. Fet
Guiseppe Del Castillo,Giuseppe Del Castillo
A. D. Gordon,Andrew D. Gordon
S. B. Lassen,Søren B. Lassen
Catriel Beer,Catriel Beeri
Vittoria de Nitto Persone,Vittoria De Nitto Persone
David Stanford,David A. Stanford
J. McDowell,Joyce P. McDowell
K. Sigman,Karl Sigman
M. Moens,Marc Moens
Kajal Y. Claypool,Kajal T. Claypool
Maria Teresa Pazienza Michele Vindigni,Maria Teresa Pazienza
Long-Ji Lin,Long Ji Lin
Kim Guldstand Larsen,Kim Guldstrand Larsen
Carlton Pu,Calton Pu
A. Segev,Arie Segev
Dimitrios Tombros,Dimitris Tombros
S. Kerr,Scott Kerr
Nicholas Sidiropoulous,Nikolaos Sidiropoulos
L. Claesen,Luc J. M. Claesen
Kam Hoi Cheng,Kam-Hoi Cheng
A. Milani,Alfredo Milani
Jon Slack,Jon M. Slack
D. Roverso,Davide Roverso
Rakesh Kumar Sinha,Rakesh K. Sinha
Rakesh Sinha,Rakesh K. Sinha
E. Dawson,Ed Dawson
Eugene McDonnell,Eugene E. McDonnell
Ryszard S. Michaelski,Ryszard S. Michalski
C. Vanoirbeek,Christine Vanoirbeek
Pradeep K. Sinha,Pradeep Kumar Sinha
M. I. Dekhtjar,Michael I. Dekhtyar
H. Collavizza,Hélène Collavizza
Femke van Raamsdok,Femke van Raamsdonk
J. G. Fletcher,John G. Fletcher
Ian Hodkinson,Ian M. Hodkinson
Cris Calude,Cristian Calude
Kevin Compton,Kevin J. Compton
Lofti Lakhal,Lotfi Lakhal
Chungmin Melvin Chen,Chung-Min Chen
Chungmin Chen,Chung-Min Chen
Chung-Ming Chen,Chung-Min Chen
Gunther Grieser,Gunter Grieser
 Mohammad Amin Shokrollahi,Mohammad Amin Shokrollahi
Kanazawa,Keiji Kanazawa
Hiu Shi,Hui Shi
Jean-Jaques Lévy,Jean-Jacques Lévy
J. K. Peacock,J. Kent Peacock
Krzyztof Lorys,Krzysztof Lorys
Torben Æ Mogensen,Torben Æ. Mogensen
Joachim Reiner,Joachim Reinert
Michelle Missikoff,Michele Missikoff
Michel Missikoff,Michele Missikoff
Andrew J. Kennedy,Andrew Kennedy
T. Mostardi,Tommaso Mostardi
Yiqun Yin,Yiqun Lisa Yin
S. A. Mahmoud,Samy A. Mahmoud
Samy Mahmoud,Samy A. Mahmoud
M. Roman Sleep,M. Ronan Sleep
R. M. Fujimoto,Richard Fujimoto
Sanjay Rajopadhye,Sanjay V. Rajopadhye
S. S. Al-Fedaghi,Sabah S. Al-Fedaghi
Sabah Al-Fedaghi,Sabah S. Al-Fedaghi
Chrishopher F. Codella,Christopher F. Codella
Y. Tabourier,Yves Tabourier
P. D. Bruza,Peter Bruza
Dick Lee,Dik Lun Lee
P. Chan,Paul Chan
R. Nakano,Ryohei Nakano
Michael Schneider,Michel Schneider
O. Rose,Oliver Rose
Radia J. Perlmann,Radia J. Perlman
T. D. Wagner,Thomas D. Wagner
Laurence J. Henschen,Lawrence J. Henschen
Chin-Chen Chnag,Chin-Chen Chang
G. Ruffo,Giancarlo Ruffo
Peter Stuckey,Peter J. Stuckey
A. K. Elhakeem,Ahmed K. Elhakeem
G. A. Jacobs,Gwen A. Jacobs
Philippe Bensard,Philippe Besnard
D. Swanberg,Deborah Swanberg
J. van Katwijk,Jan van Katwijk
Anil Nerode and Jeffrey B. Remmel,Anil Nerode
Abhiram Ranade,Abhiram G. Ranade
D. Gazen,Didier Gazen
Rosella Petreschi,Rossella Petreschi
J. F. Hayes,Jeremiah F. Hayes
L. Roh,Lucas Roh
Petrior Panaite,Petrisor Panaite
Ravin Balakrisnan,Ravin Balakrishnan
Maged Michael,Maged M. Michael
S. Starchenko,Sergei Starchenko
Martin C. Carlile,Martin C. Carlisle
Bruce Litow,Bruce E. Litow
Enrico Damiani,Ernesto Damiani
James Henle,James M. Henle
M. Goldstern,Martin Goldstern
Daniel Sangiorgi,Davide Sangiorgi
A. Nesin,Ali Nesin
R. D. Mauldin,R. Daniel Mauldin
Abdré Nies,André Nies
Johann Christopher Freytag,Johann Christoph Freytag
Adolfo Guzmán Arenas,Adolfo Guzmán-Arenas
P. Sgall,Petr Sgall
Gérard Cornuejols,Gérard Cornuéjols
H. S. Stiehl,H. Siegfried Stiehl
Patrick Brezillon,Patrick Brézillon
Enrico Nardellia,Enrico Nardelli
R. Perkuhn,Rainer Perkuhn
Asuncíon Gómez-Pérez,Asunción Gómez-Pérez
Andrej M. Borzyszkowski,Andrzej M. Borzyszkowski
Freédéric Andrès,Frédéric Andrès
Willem-P. de Roever,Willem P. de Roever
Amas Fiat,Amos Fiat
Séstian Bornot,Sébastien Bornot
Dimitros Dervos,Dimitrios Dervos
E. G. Manning,Eric G. Manning
Mathieu Capcarrère,Mathieu S. Capcarrère
Kritchal Thitikamol,Kritchalach Thitikamol
Dalila Tamazalit,Dalila Tamzalit
J. F. Méhaut,Jean-François Méhaut
R. Namyst,Raymond Namyst
Przemka Kanarek,Przemyslawa Kanarek
E. Trichina,Elena Trichina
Patrick O'Neil,Patrick E. O'Neil
Ugur Cetintemel,Ugur Çetintemel
Kathleen R. McKeown,Kathleen McKeown
Kriengkra Porkaew,Kriengkrai Porkaew
Jeanine Weissenfels,Jeanine Weißenfels
Olivier M. Duschka,Oliver M. Duschka
Vencenzo Gervasi,Vincenzo Gervasi
P. M. A. Sloot,Peter M. A. Sloot
Francisco. F. Rivera,Francisco F. Rivera
T. Dalamagas,Theodore Dalamagas
Spiros G. Denazis,Spyros G. Denazis
J. Joergenson,Jesper Jørgensen
and Stuart E. Madnick,Stuart E. Madnick
P. D. Coddington,Paul D. Coddington
M. Soerenson,Morten Heine Sørensen
Zdzislav Pawlak,Zdzislaw Pawlak
Tavi Procopiuc,Octavian Procopiuc
Nguyen Hung Son,Hung Son Nguyen
A. Kandell,Abraham Kandel
Fred H. Lochovsky,Frederick H. Lochovsky
Ramon López de Màntaras,Ramon López de Mántaras
Kenneth Ng,Kenneth W. Ng
Alìipio Jorge,Alípio Jorge
Art Farley,Arthur M. Farley
B. Zonta,Bruna Zonta
M. E. Occhiuto,M. Eugenia Occhiuto
Y.-H. Wang,Ying-Hong Wang
F. Esteva,Francesc Esteva
C.-M. Chung,Chi-Ming Chung
Subhash Kak,Subhash C. Kak
Micheal E. Houle,Michael E. Houle
T. Nishizeki,Takao Nishizeki
Silvia B. Encheva,Sylvia B. Encheva
Sylvia Encheva,Sylvia B. Encheva
Balász Biró,Balázs Biró
V. Karl Hamacher,V. Carl Hamacher
Sang-Hyuk Son,Sang Hyuk Son
B. Venneri,Betti Venneri
Andreja Tepavecvic,Andreja Tepavcevic
Siau Cheng Khoo,Siau-Cheng Khoo
Stuart Shapiro,Stuart C. Shapiro
Susannne Wetzel,Susanne Wetzel
Arthur H. M. ter Hofstede,A. H. M. ter Hofstede
P. Penna,Paolo Penna
T. Srutchin,Thomas W. Scrutchin
Mike Pidd,Michael Pidd
L. Macedo,Luís Macedo
S. Su,Stanley Y. W. Su
S. Hadjiefthymiades and Drakoulis Martakos,S. Hadjiefthymiades
Stephanie Cammarate,Stephanie J. Cammarata
Maecello Frixione,Marcello Frixione
Thomas Vinod Johnson,Thomas V. Johnson
Laszio A. Belady,Laszlo A. Belady
Christina Cifuentes,Cristina Cifuentes
J. I. A. Siddiqi,Jawed I. A. Siddiqi
Jawed Siddiqi,Jawed I. A. Siddiqi
B. Mustafa Pulat,Babur Mustafa Pulat
Esteban Ziményi,Esteban Zimányi
Mark Boddy,Mark S. Boddy
N. Völker,Norbert Völker
Deam Rubine,Dean Rubine
J. Pearson,Justin Pearson
W. M. Shaw Jr,W. M. Shaw Jr.
A. Rowstron,Antony I. T. Rowstron
Tibor Gyimóthy,Tibor Gyimothy
David Emery,David E. Emery
D. E. Emery,David E. Emery
Dimitris Metaxas,Dimitris N. Metaxas
Terrence J. Parr,Terence J. Parr
Joe Ó Ruanaidh,Joseph Ó Ruanaidh
Arjen P. De Vries,Arjen P. de Vries
B. Imreh,Balázs Imreh
Géard Becher,Gérard Becher
Hans-Peter Steinert,Hans-Peter Steiert
F. Safeyeni,Frank R. Safayeni
Syozo Naito,Shozo Naito
M. Najah K. A. Manji,M. Najah
J. Liebowitz,Jay Liebowitz
Dannz Z. Chen,Danny Z. Chen
H. E. Dunsmore,Hubert E. Dunsmore
WWilliam M. Hasling,William M. Hasling
Jaroslav Pokorny,Jaroslav Pokorný
S. Krakowiak,Sacha Krakowiak
Benjamin G. Pierce,Benjamin C. Pierce
Therese Biedl,Therese C. Biedl
Daniele Florescu,Daniela Florescu
H. Stoyan,Herbert Stoyan
J. Mossière,Jacques Mossière
Juan Clarlos Casamayor,Juan Carlos Casamayor
J. A. Goguen Jr.,Joseph A. Goguen
Nikola Kasabov,Nikola K. Kasabov
N. K. Kasabov,Nikola K. Kasabov
G. Butler,Gregory Butler
Greg Butler,Gregory Butler
E. A. Stöhr,Elena Stöhr
Elena A. Stöhr,Elena Stöhr
D. D'Aloisi,Daniela D'Aloisi
R. Straatman,Remco Straatman
Juan C. Bicarregui,Juan Bicarregui
Nikolai Vereshchagin,Nikolai K. Vereshchagin
Francesco Buccafuri,Francesco Buccafurri
H. Whitfield,Harry Whitfield
H. Whitfiel,Harry Whitfield
John J. Rofrani Jr.,John J. Rofrano
Walhter von Hahn,Walther von Hahn
C. R. Snow,C. Richard Snow
Josef Pieprzyk Jennifer Seberry,Josef Pieprzyk
André Joya,André Joyal
Manuel Rodriguez,Manuel Rodriguez-Martinez
Jöorg Sander,Jörg Sander
Surveyors' Form,Surveyors' Forum
Neville Holmes,W. Neville Holmes
W. N. Holmes,W. Neville Holmes
M. Lemaitre,Michel Lemaître
M. Lemaître,Michel Lemaître
A. E. Knowles,Alan E. Knowles
F. Mavaddat,Farhad Mavaddat
J. Foisseau,Jack Foisseau
B. Parhami,Behrooz Parhami
J.-F. Perrot,Jean-François Perrot
Aanthony E. Krzesinski,Anthony E. Krzesinski
A. Jammel,Alfons J. Jammel
Dewayne Perry,Dewayne E. Perry
Timothy Callahan,Timothy J. Callahan
Kimmo Raatikainen,Kimmo E. E. Raatikainen
R. De Caluwe,Rita M. M. De Caluwe
Yoon-Joon Kee,Yoon-Joon Lee
Stephnie Weirich,Stephanie Weirich
Iam M. Leslie,Ian M. Leslie
George Q. Maguire Jr.,Gerald Q. Maguire Jr.
Hermann A. Mauer,Hermann A. Maurer
F. Reichert,Frank Reichert
Gianna Bellé,Gianna Bellè
Drasko Sotirovski,Drasko M. Sotirovski
Michèe Cart,Michèle Cart
Bhavani M. Thurasingham,Bhavani M. Thuraisingham
Phillipe Kruchten,Phillippe Kruchten
D. Decouchant,Dominique Decouchant
M. J. R. Shave,Michael J. R. Shave
M. J. Shave,Michael J. R. Shave
Michael Shave,Michael J. R. Shave
J. M. Favaro,John M. Favaro
John Favaro,John M. Favaro
Michael da C. Móra,Michael da Costa Móra
K. S. Brathwaite,Kenmore S. Brathwaite
Joos P. Vandewalle,Joos Vandewalle
Ives Lespérance,Yves Lespérance
John-Jules C. Meyer,John-Jules Ch. Meyer
J. M. Sagawa,James M. Sagawa
Bob Snowdon,Robert A. Snowdon
N. M. Goldmann,Neil M. Goldman
M. Benerecetti,Massimo Benerecetti
David Redmiles,David F. Redmiles
Ralf Gudio Herrtwich,Ralf Guido Herrtwich
H. Lam,Herman Lam
P. Holleczek,Peter Holleczek
Deborah Frincke,Deborah A. Frincke
Darryl N. Davies,Darryl N. Davis
Berhard Walke,Bernhard Walke
David Traum,David R. Traum
Asterio Tanaka,Asterio K. Tanaka
A. K. Tanaka,Asterio K. Tanaka
Harald Baayen,R. Harald Baayen
A. Fleischmann,Albert Fleischmann
N. Zhou,Nong Zhou
Jerome A. Feldmann,Jerome A. Feldman
D. Abramson,David Abramson
Norbert Lenz,Norbert G. Lenz
Gabriella Csurka,Gabriela Csurka
W. Tietz,Walter Tietz
Jung-Wan Cho,Jung Wan Cho
J. Wenguand,Wenguang Ji
F. A. Vaughan,Francis Vaughan
Xiaoshan Gao,Xiao-Shan Gao
Ynn-Hang Lee,Yann-Hang Lee
Ken Kahn,Kenneth M. Kahn
Falviu Cristian,Flaviu Cristian
Allessandro D'Atri,Alessandro D'Atri
H. Gabler,Hermann Gabler
E. Boros,Endre Boros
Ronald Crames,Ronald Cramer
F. E. Allen,Frances E. Allen
G. Falk,Gilbert Falk
Massimliano Pontil,Massimiliano Pontil
Kebi B. Irani,Keki B. Irani
M. M. Lehmann,M. M. Lehman
Janak K. Patel,Janak H. Patel
E. S. Deutsch,Edward S. Deutsch
Thiery Priol,Thierry Priol
George Duncan,George T. Duncan
Mike Osborne,Michael R. Osborne
Guiseppe Pelagatti,Giuseppe Pelagatti
Vito di Gesù,Vito Di Gesù
V. Phan Luon,V. Phan Luong
Berardina de Carolis,Berardina De Carolis
David Kieras,David E. Kieras
Emin Gun Sirer,Emin Gün Sirer
Juan P. Caraça-Valente,Juan Pedro Caraca-Valente
Donald D. Cowan Carlos J. P. Lucena,Donald D. Cowan
Winfrid G. Schneeweiß,Winfrid G. Schneeweiss
Macro Botta,Marco Botta
Stephen S. Popovich,Steven S. Popovich
Vincente Blanco Pérez,Vicente Blanco Pérez
W. Weitz,Wolfgang Weitz
Nicholas Helft,Nicolas Helft
Amedo Cesta,Amedeo Cesta
W. Cyre,Walling R. Cyre
Stephen C. Y.Lu,Stephen C. Y. Lu
J. A. McCann,Julie A. McCann
A. Schill,Alexander Schill
R. Martin-Clouaire,Roger Martin-Clouaire
C. Limongelli,Carla Limongelli
R. S. Aylett,Ruth Aylett
Christina Videira Lopes,Cristina Videira Lopes
Dana Nau,Dana S. Nau
Catuscia Palaidessi,Catuscia Palamidessi
Bruch W. Arden,Bruce W. Arden
S. Scarloff,Stan Sclaroff
T. F. Piatkowski,Thomas F. Piatkowski
M. L. Juncosa,Mario L. Juncosa
W. Liniger,Werner Liniger
D. Roelants,Dominique Roelants van Baronaigien
Dominique Roelants,Dominique Roelants van Baronaigien
D. Roelants van Baronaigien,Dominique Roelants van Baronaigien
Bradley T. Vander Zanden,Brad T. Vander Zanden
William W Gaver,William W. Gaver
Matt Marx,Matthew Marx
B. C. Vemuri,Baba C. Vemuri
C. Mascolo,Cecilia Mascolo
A. C. Downton,Andy C. Downton
Olivier Faugeras,Olivier D. Faugeras
Donanld B. Johnson,Donald B. Johnson
Phillip S. Santas,Philip S. Santas
Jürg Kohlas P. A. Monney,Jürg Kohlas
Joseph Lluís Arcos,Josep Lluís Arcos
Ashok G. Goel,Ashok K. Goel
Antonio Lloris Ruiz,Antonio Lloris-Ruíz
Thomas H. C. Little,Thomas D. C. Little
M. Migliardi,Mauro Migliardi
Gregoire Malandain,Grégoire Malandain
E. Steegmans,Eric Steegmans
Luis Orozco Barbosa,Luis Orozco-Barbosa
A. Goh,Angela Goh
M. Petrou,Maria Petrou
Dammmian Conway,Damian Conway
Sam Midkiff,Samuel P. Midkiff
T. A. Berson,Thomas A. Berson
R. R. Johnson,Rowland R. Johnson
Rick Borovoy,Richard Borovoy
D. Barton,David Barton
Kaszuo Ushijima,Kazuo Ushijima
W. L. Kilmer,William L. Kilmer
A.J. Dadej,A. J. Dadej
J. P. Fitch,John Fitch
Andrzei Tarlecki,Andrzej Tarlecki
A. L. Luft,Alfred L. Luft
Dz-ching Roy Ju,Roy Dz-Ching Ju
Umesh Kumar V. Rajsekaran,Umesh Kumar V. Rajasekaran
R. Karabek,Raschid Karabek
Wolfgang Scgröder-Preikschat,Wolfgang Schröder-Preikschat
A. T. Krantz,Alan T. Krantz
Luis Fariñas Del Cerro,Luis Fariñas del Cerro
Uli Hedtstück,Ulrich Hedtstück
Ipke Wachsmut,Ipke Wachsmuth
Clemens Szyperski,Clemens A. Szyperski
Dirk Düllman,Dirk Düllmann
J. D. Shiers,Jamie Shiers
Mehmmet Aksit,Mehmet Aksit
Honari Sahraoui,Houari A. Sahraoui
Václav Hlavác.,Václav Hlavác
Gert Kappel,Gerti Kappel
D. Nikolos,Dimitris Nikolos
Ramarahnam Venkatesan,Ramarathnam Venkatesan
H. Ritzdorf,Hubert Ritzdorf
G. A. Geist,Al Geist
M. Resch,Michael Resch
Panagiotis Tsanakas,Panayotis Tsanakas
Paolino Di Felic,Paolino Di Felice
E. R. Hancock,Edwin R. Hancock
Y. Robert,Yves Robert
Fevyi Belli,Fevzi Belli
Luc Van Gool,Luc J. Van Gool
E. Maehle,Erik Maehle
J. M. Chassery,Jean-Marc Chassery
J.-M. Chassery,Jean-Marc Chassery
H.-K. Pung,Hung Keng Pung
H. K. Pung,Hung Keng Pung
G. L. Gimelfarb,Georgy L. Gimel'farb
J. Weese,Jürgen Weese
I. Pitas,Ioannis Pitas
Thomas Warschko,Thomas M. Warschko
Adolfa Socorro,Adolfo Socorro
Snjiv Gossain,Sanjiv Gossain
Friedrich Wahl,Friedrich M. Wahl
Rainer Weinrich,Rainer Weinreich
Elena D. Granston,Elana D. Granston
